score,quote,cover,title,rank,comment_num
8.8,中国式内在的美国电影。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p2351134499.jpg,魂断蓝桥,141,127084
8.6,爱上未来的你。 ,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2079334286.jpg,穿越时空的少女,142,181863
8.5,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p483604864.jpg,恋恋笔记本,143,274872
8.9,骨灰级歌舞片。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1612355875.jpg,雨中曲,144,91357
8.4,爱是摈弃傲慢与偏见之后的曙光。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p452005185.jpg,傲慢与偏见,145,293978
8.7,任何信念的力量，都无法改变命运。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2169664351.jpg,教父3,146,126342
9.0,坏人的好总是比好人的好来得更感人。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p792403691.jpg,完美的世界,147,77367
8.7,香港浪漫主义警匪动作片的巅峰之作。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p2459107299.jpg,纵横四海,148,139827
8.7,触不到的恋人。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1272904657.jpg,萤火之森,149,151756
8.8,跨度十五年的欢乐与泪水。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1283675359.jpg,玩具总动员3,150,187836
8.6,10年的完美句点。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p917846733.jpg,哈利·波特与死亡圣器(下),151,266240
8.6,《我是山姆》的《美丽人生》。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1816276065.jpg,7号房的礼物,152,168222
8.8,,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p2457609817.jpg,二十二,153,81624
8.5,偷情本没有这样美。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910828286.jpg,花样年华,154,239934
8.6,对爱的执着，可以超越一切。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p792257137.jpg,人工智能,155,185422
8.8,爱并不需要智商 。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p652417775.jpg,我是山姆,156,99887
8.7,世界离独裁只有五天。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1344888983.jpg,浪潮,157,128542
8.6,我们都有权利不与自己的过去和解。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p2496940327.jpg,海边的曼彻斯特,158,159447
8.7,始于荒诞，止于更荒诞。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2192834364.jpg,荒蛮故事,159,129400
8.4,一个单凭体香达到高潮的男人。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p470006658.jpg,香水,160,269294
8.4,松鼠才是角儿。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1910895719.jpg,冰川时代,161,263187
8.5,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1140984198.jpg,朗读者,162,272798
8.9,诺兰的牛逼来源于内心散发出的恐惧。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1150103377.jpg,追随,163,79593
8.6,天使与魔鬼的冲撞。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2075132390.jpg,撞车,164,170542
8.9,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p2215147728.jpg,小森林 冬春篇,165,106507
8.7,只有有信仰的人才能说出事实真相。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2189835254.jpg,一次别离,166,128685
8.6,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2275298525.jpg,心迷宫,167,153570
8.7,人生的N种可能性。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1864872647.jpg,罗生门,168,120602
8.6,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2070153774.jpg,时空恋旅人,169,190517
8.4,华太师是黄霑，吴镇宇四大才子之一。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1946455272.jpg,唐伯虎点秋香,170,310822
8.6,Balalala~~~,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p2224568669.jpg,超能陆战队,171,355182
8.5,诺兰就是保证。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1706428744.jpg,蝙蝠侠：黑暗骑士崛起,172,286097
8.5,做一颗让别人需要你的棋子。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p453719066.jpg,战争之王,173,170312
8.6,坚硬的信仰。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2363208684.jpg,可可西里,174,125303
8.7,一场没有春天的噩梦。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p884936202.jpg,梦之安魂曲,175,108862
8.8,天使保护事件始末。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1973489335.jpg,地球上的星星,176,81256
8.7,在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p455722535.jpg,碧海蓝天,177,106153
8.8,好的剧本是，就算你猜到了结局也猜不到全部。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1351050722.jpg,未麻的部屋,178,91687
8.3,青春就是放弃和怀念。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p982896012.jpg,秒速5厘米,179,285139
